_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
394616	657	Freeport, IL	msa	IL	0.0	0	0	0	0	0	87085	87465	84114	73403	66116	62507	63494	57150	59665	66582	69576	70363	76313	83039	101817	116472	120769
394667	658	Harrison, AR	msa	AR	66493.24903940877	69842	71817	74044	77925	84193	89398	90639	91163	89460	86864	86562	87129	88219	91630	97229	102481	106562	110808	116650	145771	173731	176603
395037	659	Rolla, MO	msa	MO	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119372	121925	124399	130347	158540	181211	184426
394482	660	Coldwater, MI	msa	MI	81979.83063276373	87199	91603	94937	99229	102575	101401	98972	95764	88427	83845	83159	82130	84763	87753	90785	95991	99828	106788	120761	143317	156403	157766
753904	661	Marion, NC	msa	NC	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129408	136085	146907	161508	203842	232131	239678
394695	662	Huntingdon, PA	msa	PA	0.0	0	0	0	0	0	0	0	0	85115	85193	84422	85107	89741	92375	98660	103820	103344	108923	114313	143427	154115	155864
394567	663	Ellensburg, WA	msa	WA	0.0	0	0	0	0	0	0	0	0	225704	206337	193455	190897	195854	207479	220669	239547	260501	292863	316132	414482	479525	475928
394990	664	Ponca City, OK	msa	OK	44552.98699384662	46440	48291	49851	51369	52768	54625	56721	54777	52038	51720	51148	51684	54768	57235	60582	64594	61620	64837	68615	84178	95108	97960
394779	665	Lawrenceburg, TN	msa	TN	59728.56992821186	61898	63459	65076	66854	66065	68389	71486	73834	71553	69321	67416	68151	70788	77022	82036	88672	97920	103880	118855	155628	186866	191314
394842	666	McAlester, OK	msa	OK	56398.28635311237	59349	61397	63564	65810	68653	71617	75499	79643	79954	79256	75632	74607	74802	75367	76014	78030	76874	82168	83547	110956	124689	128326
394886	667	Mount Pleasant, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	87110	85944	84353	85924	90566	96925	101468	108561	114873	121861	129995	162049	186823	191447
395228	668	Willmar, MN	msa	MN	0.0	0	0	0	0	143813	144940	144396	139837	132674	125239	120430	123409	127332	131824	135994	144529	147031	154550	165605	200179	224844	228006
395034	669	Rockingham, NC	msa	NC	0.0	0	0	0	41675	44559	49360	52118	52336	50737	48863	47424	48167	47905	50169	49436	52320	55762	59001	62925	71624	84553	95422
394895	670	Muscatine, IA	msa	IA	0.0	0	0	0	0	0	0	0	0	96598	95686	95179	98831	105679	108039	113003	122354	122884	127376	134592	158606	172702	177575
394785	671	Lewisburg, PA	msa	PA	0.0	0	0	0	0	0	0	0	0	0	0	0	147632	150169	154015	161209	165716	176428	181077	187939	220697	241142	249677
394349	672	Auburn, IN	msa	IN	0.0	0	0	0	0	0	0	0	0	109385	106306	104094	105346	107195	110323	116951	123762	129992	139547	147944	179554	198509	201994
394545	673	Duncan, OK	msa	OK	48462.95043332002	50809	52586	54246	56287	59141	62572	66737	68351	65792	64563	64349	65546	68881	72415	76125	73974	71781	75594	77389	92163	108931	113838
395081	674	Sedalia, MO	msa	MO	49288.9087282943	51380	53522	55225	58031	61487	63963	64896	62853	57986	54510	55047	61619	76864	77374	82599	87575	88925	97880	110112	138378	158610	162527
394448	675	Cedartown, GA	msa	GA	54621.37464384394	58154	61628	64309	67155	67147	70067	72327	71784	67466	62366	57267	56608	61123	69277	76161	80968	86373	97767	106787	147951	182470	191193
394677	676	Henderson, NC	msa	NC	50884.68695103864	54511	56410	58124	60131	64565	67886	70936	71324	69092	65770	62095	60051	59225	61234	64616	69191	71287	77202	84039	110789	126257	133045
394297	677	Aberdeen, SD	msa	SD	0.0	0	0	0	0	0	0	0	0	109409	109843	110930	119858	127445	128636	131159	136057	139855	145731	155247	180898	197876	202607
395032	678	Rock Springs, WY	msa	WY	0.0	0	0	0	0	0	0	0	0	0	0	0	176443	191543	198634	208520	212264	208126	209328	214718	230619	244788	252119
394627	679	Garden City, KS	msa	KS	0.0	0	0	0	0	0	0	0	0	109746	109987	110109	112950	118135	123503	131971	139166	144037	149971	156543	192158	210687	216273
395129	680	Stephenville, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	117572	116667	115380	117487	121577	130555	135708	140991	145670	154450	165649	210141	251317	263308
394449	681	Celina, OH	msa	OH	0.0	0	0	0	0	0	0	0	0	116451	115950	114359	117424	131534	141652	147127	139360	140920	149707	160050	198016	215284	221910
395230	682	Wilmington, OH	msa	OH	0.0	0	0	94143	96139	96302	100675	100541	99648	96658	93446	90201	90745	96684	101336	111455	121165	128795	135346	143263	182674	203690	206808
394424	683	Bucyrus, OH	msa	OH	0.0	0	0	0	0	0	0	0	0	0	0	72835	72656	71434	70648	72001	73929	74422	78646	84700	110167	122923	127432
394319	684	Alma, MI	msa	MI	0.0	0	0	0	0	0	0	0	0	0	66005	64811	65857	69367	67598	67707	71814	75959	80906	85885	115849	122810	126425
394558	685	El Campo, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	103289	99257	97466	98361	99295	108517	120165	131664	136948	141613	150555	174062	187571	187982
394891	686	Mountain Home, AR	msa	AR	81010.63596427818	84811	86971	90104	94742	103303	116444	125645	125484	123714	120356	118776	117019	114324	117830	120533	123355	126882	130883	135421	163598	189047	190014
