_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
395084	73523	79067	85271	94934	105616	110005	109110	105053	98259	95318	93342	92758	96739	99671	101770	105375	112463	118157	122250	153684	173959	177105	784	Seneca Falls, NY	NY
394533	0	0	0	0	0	0	0	0	138338	142951	152064	168685	201381	220131	243789	246707	240548	231469	232090	248305	259142	265573	785	Dickinson, ND	ND
395207	0	0	0	0	0	0	0	0	0	0	0	89768	93666	95356	97808	103075	111220	119760	126148	161697	181540	187210	787	Washington, IN	IN
395165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113475	112354	112626	117669	131137	144581	146502	788	Troy, AL	AL
753902	45836	47302	50041	54361	60342	65445	68000	67046	65693	65880	66257	67332	67602	67493	72260	78618	82913	84444	86393	104983	115131	121961	789	Malvern, AR	AR
394613	83122	85416	87197	89367	92468	93951	95341	95519	93590	91014	89541	88958	88618	90632	96574	99903	102417	109212	120426	149085	169493	173781	790	Frankfort, IN	IN
394815	0	0	0	0	0	0	0	0	0	0	0	80499	87529	93160	102279	105866	118002	126247	129891	161377	185148	189722	791	Madison, IN	IN
394414	0	0	0	0	0	0	0	0	189517	181732	171046	167788	170853	176133	183022	194743	211861	232146	241573	326137	390897	406356	792	Brevard, NC	NC
395141	0	0	0	0	0	0	175852	145196	123327	118360	114759	118447	122340	124541	128854	144542	158471	173447	182045	224934	235655	230198	793	Susanville, CA	CA
394835	64289	65304	66923	67698	68913	71364	72738	73670	71707	69587	68113	68792	70324	73737	74947	78084	81314	84160	92110	111984	130962	137376	794	Martin, TN	TN
394984	0	0	0	0	0	0	0	0	67266	66046	64913	65476	65237	66888	66589	68933	70208	73152	77311	89537	97832	99058	795	Plainview, TX	TX
753878	62220	64109	66804	70070	75274	81764	86328	87841	87085	86400	85305	86433	83165	84697	95664	103441	110782	118044	132143	168347	197869	201386	797	Dayton, TN	TN
753892	60544	62928	64928	66956	69261	69735	69647	68583	66375	64604	63155	63930	66493	71436	72046	77243	80391	85095	88601	111784	115930	117590	798	Jackson, OH	OH
394433	71183	78168	86397	102174	121798	144372	153676	140677	127118	120398	116088	116135	117638	125394	130142	134464	138502	149764	158213	197810	220562	225241	799	Cambridge, MD	MD
394962	69541	70977	71933	73047	74747	77916	80968	83484	81159	78605	76673	77692	79426	83365	85403	91510	96941	100281	109274	133105	158771	163651	800	Paris, TN	TN
394730	0	0	0	0	274853	297155	302206	300866	298520	296942	298551	308815	329528	340243	358449	370430	380665	391192	395564	434387	464265	461905	802	Juneau, AK	AK
394481	0	0	0	0	0	0	0	0	0	56740	57215	56012	54548	53051	52039	49113	48244	49422	51132	66749	76638	78221	803	Coffeyville, KS	KS
394774	0	0	0	0	0	0	0	0	0	0	0	102853	100307	100450	100706	102547	107207	114055	119384	144830	155854	159630	804	Las Vegas, NM	NM
394383	71619	78227	84586	94783	107291	113318	113360	110836	103635	100787	99713	100116	103879	101641	102017	106154	114380	123946	129711	175433	214324	222061	805	Berlin, NH	NH
394473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102738	102816	104726	104166	112952	108299	105401	806	Cleveland, MS	MS
394670	0	0	82716	84952	88547	89873	91562	92590	92744	92746	91892	94577	98858	104574	110851	117905	124166	133239	142066	168673	180284	182400	807	Hastings, NE	NE
394376	0	0	0	0	0	0	0	0	0	0	0	76555	78553	88577	93742	93554	95799	101008	109374	123030	128585	130849	808	Beeville, TX	TX
394749	0	0	0	0	0	0	0	0	85088	83905	82739	84330	85620	90111	93367	97824	98144	101681	107860	119161	124509	123022	809	Kingsville, TX	TX
395196	0	0	0	0	0	0	0	0	85271	83229	82063	82308	83410	86952	90744	93481	98269	105388	111637	137000	150367	154297	810	Wabash, IN	IN
753871	0	0	271812	280119	303861	339761	362049	392586	395369	379896	366584	370109	390722	407750	436657	486133	554777	615031	664155	842071	1019367	951362	811	Breckenridge, CO	CO
